trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,24.83
,,,,,,,,,,,22.26
,,,,,,,,,,,26.56
,,,,,,,,,,,26.56
,,,,,,,,,,,26.56
,,,,,,,,,,,26.56
,,,,,,,,,,,22.38
,,,,,,,,,,,22.9
,,,,,,,,,,,30.03
,,,,,,,,,,,30.03
,,,,,,,,,,,30.88
,,,,,,,,,,,22.4
,,,,,,,,,,,29.44
,,,,,,,,,,,32.61
,,,,,,,,,,,27.08
,,,,,,,,,,,24.25
,,,,,,,,,,,36.24
,,,,,,,,,,,30.03
,,,,,,,,,,,38.43
,,,,,,,,,,,28.39
,,,,,,,,,,,24.25
,,,,,,,,,,,32.07
4.57,,0.06841,0.2741,15.734659,68.57825,,6.9,0.936,,,21.27
,,,,,,,,,,,19.53
,,,,,,,,,,,23.84
,,,,,,,,,,,22.91
,,,,,,,,,,,22.91
,,,,,,,,,,,21.04
,,,,,,,,,,,21.38
,,,,,,,,,,,29.45
,,,,,,,,,,,24.07
,,,,,,,,,,,24.07
,,,,,,,,,,,24.37
,,,,,,,,,,,24.37
,,,,,,,,,,,23.65
,,,,,,,,,,,23.65
,,,,,,,,,,,22.74
,,,,,,,,,,,22.8
,,,,,,,,,,,22.8
,,,,,,,,,,,22.8
,,,,,,,,,,,22.8
3.32,3.87,0.02902,0.46874002,0.16627,5.1869006,,0.33,0.574,3,4,21.66
,,,,,,,,,,,21.9
,,,,,,,,,,,24.04
,,,,,,,,,,,25.48
,,,,,,,,,,,23.57
,,,,,,,,,,,23.57
,,,,,,,,,,,15.59
,,,,,,,,,,,20.87
,,,,,,,,,,,21.0
,,,,,,,,,,,20.95
313.01,129.95,0.08434,0.68083,0.19243,3.7617857,,0.62,0.351,4,3,26.59
,,,,,,,,,,,28.71
,,,,,,,,,,,21.69
,,,,,,,,,,,24.25
,,,,,,,,,,,25.03
2.995,,0.00233,0.75597,0.03505,,,,1.222,5,5,28.6
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,26.11
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,24.46
,,,,,,,,,,,24.46
,,,,,,,,,,,24.46
,,,,,,,,,,,29.89
,,,,,,,,,,,29.89
,,,,,,,,,,,20.52
,,,,,,,,,,,29.89
,,,,,,,,,,,20.57
,,,,,,,,,,,29.85
,,,,,,,,,,,22.17
,,,,,,,,,,,25.22
,,,,,,,,,,,22.36
,,,,,,,,,,,28.0
,,,,,,,,,,,28.0
,,,,,,,,,,,46.89
-0.18,,0.0072000003,0.42181998,,-11.099587,,3.89,0.538,,,26.78
,,,,,,,,,,,17.89
,,,,,,,,,,,17.89
,,,,,,,,,,,17.89
,,,,,,,,,,,17.89
,,,,,,,,,,,21.6
,,,,,,,,,,,33.7
,,,,,,,,,,,49.51
,,,,,,,,,,,44.59
3.57,3.36,0.00087,0.30831,0.13804,1.8070813,,4.67,0.282,4,2,33.81
,,,,,,,,,,,26.99
,,,,,,,,,,,24.76
,,,,,,,,,,,27.61
,,,,,,,,,,,31.42
,,,,,,,,,,,20.37
,,,,,,,,,,,26.98
,,,,,,,,,,,27.29
,,,,,,,,,,,49.0
,,,,,,,,,,,26.87
,,,,,,,,,,,24.77
,,,,,,,,,,,24.77
,,,,,,,,,,,30.91
,,,,,,,,,,,30.91
,,,,,,,,,,,30.23
,,,,,,,,,,,19.31
,,,,,,,,,,,20.38
,,,,,,,,,,,20.21
,,,,,,,,,,,24.79
,,,,,,,,,,,24.79
,,,,,,,,,,,21.56
,,,,,,,,,,,20.18
,,,,,,,,,,,20.18
84.11,77.6,0.03926,0.41050997,0.01827,0.15811734,,4.71,0.482,3,5,31.71
,,,,,,,,,,,27.18
,,,,,,,,,,,27.18
,,,,,,,,,,,27.18
,,,,,,,,,,,27.18
,,,,,,,,,,,28.89
,,,,,,,,,,,28.89
,,,,,,,,,,,28.89
,,,,,,,,,,,28.89
,,,,,,,,,,,26.4
,,,,,,,,,,,19.22
-7.94,5.82,0.00265,0.6451,-0.10042,0.73142225,,2.47,0.366,3,3,16.54
,,,,,,,,,,,22.23
,,,,,,,,,,,24.41
,,,,,,,,,,,24.41
,,,,,,,,,,,24.41
,,,,,,,,,,,23.62
,,,,,,,,,,,22.87
,,,,,,,,,,,20.62
,,,,,,,,,,,20.62
,,,,,,,,,,,20.66
,,,,,,,,,,,21.94
,,,,,,,,,,,19.22
,,,,,,,,,,,17.39
,,,,,,,,,,,20.85
,,,,,,,,,,,21.75
2.643,,0.00208,0.8536,0.10715,0.01636902,,,0.605,3,1,22.86
,,,,,,,,,,,20.17
,,,,,,,,,,,25.05
,,,,,,,,,,,25.05
,,,,,,,,,,,21.96
,,,,,,,,,,,21.96
,,,,,,,,,,,58.36
,,,,,,,,,,,58.36
,,,,,,,,,,,52.7
,,,,,,,,,,,23.04
,,,,,,,,,,,23.52
,,,,,,,,,,,23.9
,,,,,,,,,,,23.57
12.27,14.99,0.58981,0.24441,0.06033,0.8614897,,4.59,0.808,4,6,29.32
12.28,,0.58981,0.24441,0.06033,0.8614897,,4.59,0.808,4,6,29.32
,,,,,,,,,,,24.5
,,,,,,,,,,,20.54
,,,,,,,,,,,29.32
,,,,,,,,,,,15.83
,,,,,,,,,,,15.83
,,,,,,,,,,,15.83
,,,,,,,,,,,15.83
,,,,,,,,,,,15.83
9.479,,0.03108,0.93382,0.14939,0.073417455,,,1.289,1,3,18.93
,,,,,,,,,,,15.83
,,,,,,,,,,,21.93
,,,,,,,,,,,26.86
,,,,,,,,,,,24.11
,,,,,,,,,,,21.28
,,,,,,,,,,,23.23
,,,,,,,,,,,18.71
,,,,,,,,,,,24.49
,,,,,,,,,,,23.07
,,,,,,,,,,,23.07
,,,,,,,,,,,23.07
,,,,,,,,,,,23.07
,,,,,,,,,,,23.07
,,,,,,,,,,,31.71
,,,,,,,,,,,31.71
,,,,,,,,,,,22.93
,,,,,,,,,,,25.7
,,,,,,,,,,,48.57
,,,,,,,,,,,41.33
,,,,,,,,,,,28.63
,,,,,,,,,,,33.81
,,,,,,,,,,,24.77
,,,,,,,,,,,25.27
1.18,0.99,0.29768,0.30066,0.06348,0.008671276,,2.36,0.533,2,6,28.58
,,,,,,,,,,,20.23
,,,,,,,,,,,20.23
,,,,,,,,,,,20.23
,,,,,,,,,,,20.23
,,,,,,,,,,,15.35
,,,,,,,,,,,20.6
,,,,,,,,,,,24.3
,,,,,,,,,,,29.54
,,,,,,,,,,,29.54
,,,,,,,,,,,29.54
,,,,,,,,,,,21.73
,,,,,,,,,,,21.73
,,,,,,,,,,,21.73
,,,,,,,,,,,58.12
,,,,,,,,,,,15.27
,,,,,,,,,,,22.73
,,,,,,,,,,,23.62
,,,,,,,,,,,21.05
17.5,,0.63453,0.21554,0.1283,9.042447,,0.88,0.33,6,6,28.39
17.5,22.07,0.63453,0.21554,0.1283,9.056404,,0.88,0.33,6,6,28.39
,,,,,,,,,,,23.62
,,,,,,,,,,,21.55
,,,,,,,,,,,36.48
,,,,,,,,,,,23.87
85.4,23.11,0.47518003,0.22986999,0.04438,1.1807976,,0.53,0.548,10,10,43.12
85.23,41.74,0.47518003,0.22986999,0.04438,1.178093,,0.53,0.548,10,10,43.12
,,,,,,,,,,,24.46
,,,,,,,,,,,25.69
,,,,,,,,,,,15.5
,,,,,,,,,,,16.25
,,,,,,,,,,,16.25
,,,,,,,,,,,24.2
,,,,,,,,,,,40.46
,,,,,,,,,,,21.48
,,,,,,,,,,,20.55
,,,,,,,,,,,15.77
,,,,,,,,,,,15.77
,,,,,,,,,,,51.55
,,,,,,,,,,,25.23
,,,,,,,,,,,22.4
-0.01,2.08,0.20114,0.603,-0.21301001,5.6001735,,7.94,2.28,8,3,10.54
,,,,,,,,,,,23.54
-1.16,,0.00046,0.07574,-0.65515,9.338005,,8.24,0.869,,,29.33
243.83,275.47,0.03754,0.34080002,0.05941,1.10515,,1.27,0.114,4,3,27.9
0.69,62.55,0.25767002,0.57104,0.4005,4.475181,,3.32,0.616,3,2,19.56
,,,,,,,,,,,22.3
,,,,,,,,,,,19.49
,,,,,,,,,,,23.65
,,,,,,,,,,,21.86
,,,,,,,,,,,25.43
,,,,,,,,,,,18.62
,,,,,,,,,,,30.53
,,,,,,,,,,,23.85
57.91,,0.61245,0.24976,0.14509,330.9105,,2.42,0.627,2,4,12.92
,,,,,,,,,,,19.48
,,,,,,,,,,,21.65
-0.35,,0.00123,0.087419994,,-7.6512294,,8.12,0.645,,,24.83
,,,,,,,,,,,21.65
,,,,,,,,,,,21.65
,,,,,,,,,,,22.67
,,,,,,,,,,,19.48
,,,,,,,,,,,21.53
,,,,,,,,,,,29.99
,,,,,,,,,,,25.94
,,,,,,,,,,,22.1
,,,,,,,,,,,25.94
,,,,,,,,,,,25.94
,,,,,,,,,,,25.94
,,,,,,,,,,,25.45
,,,,,,,,,,,25.94
,,,,,,,,,,,24.42
-181.53,44.15,0.52833,0.15057,-0.06774,0.19331102,,2.1,0.997,6,6,30.22
,,,,,,,,,,,21.38
854.78,638.5,0.04271,0.44092,0.08027001,1.2692925,,1.98,0.727,1,1,30.63
,,,,,,,,,,,22.05
,,,,,,,,,,,26.97
,,,,,,,,,,,26.97
,,,,,,,,,,,30.75
,,,,,,,,,,,22.57
,,,,,,,,,,,33.58
,,,,,,,,,,,30.04
,,,,,,,,,,,21.08
,,,,,,,,,,,23.61
,,,,,,,,,,,35.94
,,,,,,,,,,,53.77
,,,,,,,,,,,21.47
,,,,,,,,,,,53.77
,,,,,,,,,,,24.06
2.11,4.39,0.00746,0.99441004,0.12977,4.437631,,,1.0,6,6,25.0
,,,,,,,,,,,28.2
,,,,,,,,,,,29.64
1.75,,0.00219,0.89212996,0.06548,0.015106609,,,0.267,8,7,30.0
0.359,,0.013150001,1.04127,0.13918,0.029259155,,,1.325,7,6,13.35
-0.21,,0.01454,0.23010999,,-12.464612,,2.78,1.22,,,47.93
